true_label,cooperation_index
F,0.6602125428348385
H,0.5023663104491315
5,0.4960571960612395
j,0.4952161431440126
E,0.4944271095843049
K,0.4924354767103296
7,0.4885870552871211
k,0.39876080491636745
t,0.37492549574682965
w,0.36939759008430506
Q,0.3509548861783519
f,0.3326144027168865
T,0.3321586102878425
x,0.33005278440819374
q,0.2919886239864741
I,0.26928312751706046
R,0.2543773395785815
i,0.24953142428829578
W,0.2493168422632101
X,0.16656433385423097
4,0.1663197426264401
g,0.1659821988301673
P,0.16520170039686524
B,0.163508472607422
Z,0.16283244187376947
y,0.16116689007613658
G,0.1572954482743811
r,0.1531234756755602
A,0.12482676003897
z,0.12477444549465527
J,0.005434939873936247
M,0.0
S,0.0
O,0.0
L,0.0
8,0.0
N,0.0
1,0.0
2,0.0
3,0.0
0,0.0
6,0.0
9,0.0
D,0.0
C,0.0
V,0.0
h,0.0
c,0.0
d,0.0
e,0.0
U,0.0
Y,0.0
a,0.0
b,0.0
o,0.0
p,0.0
m,0.0
n,0.0
l,0.0
v,0.0
s,0.0
u,0.0
