character,stroke_1,stroke_2,stroke_3
0,0.4863175698252841,-0.0019448698039923,0.0
1,0.056064531827966335,0.0,0.0
2,0.754853303777054,0.0,0.0
3,0.8875824100493143,0.0,0.0
4,0.42068079372984357,0.16286045798915438,0.0
5,0.44312293403345393,0.4463652737637555,0.0
6,0.8588239192031324,0.0,0.0
7,0.49121105564336176,0.4691120219831646,0.0
8,0.890051291595834,0.0,0.0
9,0.558690301142633,0.0,0.0
A,0.7008204643425415,0.05723134551226392,0.0
B,0.8114774082593309,0.16142904655619833,0.0
C,0.32530540600419044,0.0,0.0
D,0.587740029518803,0.0,0.0
E,0.4137220526125701,0.06922545392808382,0.3085891738820692
F,0.32647338875863663,0.31385102647942,0.32898734713024974
G,0.80720868279847,0.1384927350251625,0.0
H,0.4890171604574789,0.3335411203073211,0.16009021943773402
I,0.3461319067152241,0.18363678217353174,0.0665736493603314
J,0.32229963643476367,0.32317588757723575,0.0
K,0.37403382356731324,0.28797257420147715,0.08142672382301597
L,0.9417410660535097,0.0,0.0
M,0.7685440934728831,0.0,0.0
N,0.8270995289397737,0.0,0.0
O,0.38719733187463135,0.0,0.0
P,0.7129376495528655,0.15976931269203,0.0
Q,0.5024728343414608,0.30117835974670015,0.0
R,0.3680213491509979,0.1996673805406317,0.0
S,0.49530375252167386,0.0,0.0
T,0.5464239505139025,0.2561655653310784,0.0
U,0.5069755933557948,0.0,0.0
V,0.821936320203046,0.0,0.0
W,0.4363294616196072,0.08451286565104962,0.0
X,0.06355064998691283,0.05816406741117436,0.0
Y,0.691653291384379,0.0,0.0
Z,0.3893636228264465,-0.09575999441828266,0.0
a,0.7859396644635126,0.0,0.0
b,0.45987246482400224,0.0,0.0
c,0.40523988753557205,0.0,0.0
d,0.4381335557554848,0.0,0.0
e,0.9761811410232136,0.0,0.0
f,0.16991023358423255,0.1620046159951016,0.0
g,0.17966618311281002,0.14301263308152556,0.0
h,0.7267781148354212,0.0,0.0
i,0.3556183277978561,0.23750817036489025,0.0
j,0.4890857058950739,0.4915136378040188,0.0
k,0.27371631972512955,0.15110468851419984,0.08691464526539977
l,0.7356450626005729,0.0,0.0
m,0.7592409374192357,0.0,0.0
n,0.9329183078759039,0.0,0.0
o,0.33309538507213193,0.0,0.0
p,0.9694717624806799,0.0,0.0
q,0.286265514352029,0.22717209080049847,0.0
r,0.7165912120593324,0.17228851985904234,0.0
s,0.5466082139561573,0.0,0.0
t,0.3466041345400299,0.3499129055398953,0.0
u,0.5736841001392653,0.0,0.0
v,0.649868396964545,0.0,0.0
w,0.45280798281601164,0.2851987803442171,0.0
x,0.014946397762590402,0.015081779041793203,0.0
y,0.5703908673409993,0.021175311063416302,0.0
z,0.3189676736001274,0.0956686637146049,0.0
