sample_id,original_conf,drop_high,drop_low
816,0.7364292144775391,0.7362276626372477,0.7336189856287092
857,0.5244020223617554,0.5242950938481954,0.5123634431511164
1201,0.3492520749568939,0.34905485992203467,0.34791662998031825
1338,0.9225649237632751,0.9218784655677155,0.9208458579378203
501,0.020902572199702263,0.020375166146550328,-0.0029908735305070877
297,0.0615730807185173,0.06051993649452925,0.05148900859057903
753,0.9815876483917236,0.97913962835446,0.9614291004836559
1018,0.45949968695640564,0.45883442932972685,0.4581990042934194
972,0.537895679473877,0.5369583110441454,0.4816269502043724
361,0.03008931316435337,0.029990914663358126,-0.4733572658151388
1226,0.3076448142528534,0.30580829340033233,0.30520488577894866
1037,0.7861571311950684,0.7855698937783018,0.7808812549337745
1028,0.46873489022254944,0.4683509884926025,-0.07916167378425598
589,0.9695078134536743,0.9684877081308514,0.9652497568167746
1237,0.9424409866333008,0.9421441067534033,0.9355416358448565
147,0.3014870584011078,0.30122337269131094,0.2998388261767104
22,0.8416001200675964,0.8412337516783737,0.841106126899831
228,0.9854654669761658,0.9846739508211613,0.9719459759071469
464,0.9811821579933167,0.9807270001620054,0.045140981674194336
278,0.29599815607070923,0.29536274960264564,-0.6540996432304382
1064,0.8870564103126526,0.8855463571380824,0.530187726020813
1138,0.8614039421081543,0.8607620646362193,0.8378785941749811
830,0.1247379332780838,0.12453009001910686,0.12047147750854492
779,0.9913961291313171,0.9902429752983153,0.0367853045463562
129,0.08312229067087173,0.08282569219591096,0.08253418473759666
465,0.9726281762123108,0.9722127064305823,0.9670988242141902
964,0.9664502143859863,0.9644350949674845,0.9650894256774336
822,0.9305152297019958,0.9303904605476419,0.9096393436193466
885,0.9722533822059631,0.9720704736246262,0.8943831697106361
183,0.979213535785675,0.9788906078319997,0.9716442869976163
304,0.009664628654718399,0.009533603501040488,0.008053262019529939
552,0.9882813096046448,0.9873319626785815,0.9853000973816961
154,0.9875110387802124,0.9861041730036959,0.011048972606658936
801,0.819499135017395,0.8191837604972534,0.8105767089873552
1312,0.1799326390028,0.17989652563483105,0.179765301552834
785,0.9520638585090637,0.9512556039262563,0.9429029822349548
526,0.932976484298706,0.9321555807255208,-0.00643002986907959
461,0.9520774483680725,0.9498349018394947,0.9318225476890802
1335,0.9875316023826599,0.9874331383689423,0.9872256715316325
459,0.7649111151695251,0.7643446225556545,0.7629660861566663
176,0.04461001604795456,0.04454980423179222,-0.009864259511232376
84,0.6105231046676636,0.6097657486097887,0.5989602347835898
1212,0.9813193082809448,0.9812701947485039,0.9745422974228859
591,0.9776531457901001,0.9775283568451414,0.04559105634689331
849,0.9776686429977417,0.9775689722591778,0.8313387781381607
519,0.011578641831874847,0.011282270745141432,0.009165638126432896
690,0.9684303998947144,0.965545262908563,0.9625075659714639
842,0.9486224055290222,0.948417151812464,0.9447599917184561
539,0.059878624975681305,0.05964294205477927,0.04097226448357105
1164,0.37631767988204956,0.37488877458963543,0.3735877906437963
453,0.97423255443573,0.9740282855927944,0.9736662815557793
388,0.010218985378742218,0.010079285100800917,-0.0006448449566960335
191,0.8979339003562927,0.8971328583429568,0.8964905377943069
1289,0.6113252639770508,0.6094838811550289,0.6091761407442391
343,0.9884486794471741,0.9884372300039104,0.9876102717826143
636,0.6714756488800049,0.6713527665124275,0.5255477428436279
590,0.8835420608520508,0.8829308268614113,0.8334247916936874
741,0.9843272566795349,0.9839085883577354,0.9365650676190853
763,0.9037371873855591,0.9035904647607822,0.9034279360785149
299,0.34358519315719604,0.34348214337660465,-0.5966088771820068
359,0.02259630337357521,0.0221327634062618,0.014696203172206879
837,0.9756172895431519,0.9716279706917703,0.8835536688566208
1310,0.948489785194397,0.9473682511597872,0.9468143538106233
243,0.9262654185295105,0.9260782170604216,0.9206083160825074
750,0.8600507378578186,0.8582377177663147,0.8547281790524721
1034,0.7889843583106995,0.7880851127556525,0.7299792878329754
429,0.9879145622253418,0.9877808094897773,0.9811909408308566
431,0.9800721406936646,0.9797084197634831,0.9525045976042747
391,0.971685528755188,0.9714705834194319,0.9714374166796915
9,0.984798014163971,0.9817368732765317,0.975354515016079
443,0.9814320802688599,0.9813416571269045,0.9772972832433879
789,0.9708155989646912,0.9699997905408964,0.9699221150367521
